############################################
# fonts.dat                                #
# stores the proportional values for fonts #
############################################

# amount of fonts to expect:
[TOTAL_FONTS]
2


#
# 1st font...  GOTHIC
#

# this font id (starts at ZERO):
[FONT_ID]
0

# proportional values:
[PROP]
12  13  13  28  28  28  28  8	  #	0    ! " £ $ % & '
17  17  30  28  28  12  9   21    #	8  ( ) * + , - . /
28  14  28  28  28  28  28  28    #	16 0 1 2 3 4 5 6 7
28  28  13  13  30  30  30  30    #	24 8 9 : ; < = > ?
10  26  24  22  25  23  21  25    #	64 - A B C D E F G
25  18  21  23  21  31  28  28    #	72 H I J K L M N O
27  27  25  24  25  32  24  32    #	80 P Q R S T U V W
25  24  22  28  33  33  14  28    #	88 X Y Z & \   i _
10  12  13  10  12  11  11  13    #	64 ! a b c d e f g
13   8   8  14   6  19  13  11    #	72 h i j k l m n o
13  12  11  13   9  14  14  19    #	80 p q r s t u v w
18  14  13  30  30  37  35  37    #	56 x y z  
26  26  26  26  34  22  25  25	  #	96 À Á Â Ã Æ Ç È É 
25  25  18  18  18  18  28  28	  #	104 Ê Ë Ì Í Î Ï Ò Ó 
28  28  32  32  32  32  12  12	  #	112 Ô Ö Ù Ú Û Ü ß à
12  12  12  21  10  11  11  11	  #	120 á â ã æ ç è é ê
11   8   8   8   8  11  11  11	  #	128 ë ì í î ï ò ó ô
11  14  14  14  14  28  13  30	  #	136 ö ù ú û ü N n ?(upsidedown)
27  16  27  27  27  27  27  27	  #	144 0 1 2 3 4 5 6 7
27  27  18  29  26  25  28  26	  #	152 8 9 : A B C D E
25  27  28  12  24  25  24  30	  #	160 F G H I J K L M
27  29  26  26  25  26  25  26	  #	168 N O P Q R S T U
28  32  27  26  26  29  29  29	  #	176 V W X Y Z À Á Â
29  33  25  26  26  26  26  14	  #	184 Ã Æ Ç È É Ê Ë Ì
14  14  14  29  29  29  29  26	  #	192 Í Î Ï Ò Ó Ô Ö Ù
26  26  26  21  25  30  27  27    #	200 Ú Û Ü ß Ñ ¿  

# value for unproportional
[UNPROP]
27

# special char in subfont:
[REPLACEMENT_SPACE_CHAR]
10


#
# 2nd font...  GTA HEADER
#

# this font id:
[FONT_ID]
1

# proportional values:
[PROP]
15   7  31  25  20  23  21   7    #	0    ! " £ $ % & '
11  10  26  14   6  12   6  15    #	8  ( ) * + , - . /
20   7  20  20  21  20  20  19    # 16 0 1 2 3 4 5 6 7
21  20   8  30  24  30  24  19    # 24 8 9 : ; < = > ?
20  22  22  21  22  18  18  22    #	32 tmA B C D E F G
22   9  14  21  18  27  21  24    # 40 H I J K L M N O
22  22  23  20  19  23  22  31    # 48 P Q R S T U V W
23  23  21  25  13  30  10  19    #	56 X Y Z       ! _
10  17  17  16  17  17  11  17    #	64 ! a b c d e f g
17   7   7  18   7  25  17  17    # 72 h i j k l m n o
17  17  11  17  11  17  18  25    # 80 p q r s t u v w
19  18  17  28  26  20  15  15    #	88 x y z     $ [ ]
20  20  20  20  29  22  19  19    # 96 À Á Â Ã Æ Ç È É
16  16   9   9   9   9  24  24	  #	104 Ê Ë Ì Í Î Ï Ò Ó 
24  24  20  20  20  20  16  17	  #	112 Ô Ö Ù Ú Û Ü ß à
17  17  17  30  14  16  16  16	  #	120 á â ã æ ç è é ê
16   8   8   8   8  16  16  16	  #	128 ë ì í î ï ò ó ô
16  16  16  16  16  22  16  19	  #	136 ö ù ú û ü Ñ ñ ¿
20  18  19  19  21  19  19  19	  #	144 0 1 2 3 4 5 6 7
19  19  16  19  19  19  20  19	  #	152 8 9 : A B C D E
16  19  19   9  19  20  14  29	  #	160 F G H I J K L M
19  19  19  19  19  19  21  19	  #	168 N O P Q R S T U
20  32  21  19  19  19  19  19	  #	176 V W X Y Z À Á Â
19  29  19  19  19  19  19   9	  #	184 Ã Æ Ç È É Ê Ë Ì
 9   9   9  19  19  19  19  19	  #	192 Í Î Ï Ò Ó Ô Ö Ù
19  19  19  19  21  19  10   9	  #	200 Ú Û Ü ß Ñ ¿ ' .

# value for unproportional
[UNPROP]
20

# special char in subfont:
[REPLACEMENT_SPACE_CHAR]
10


# -eof-
